article_name,nb_in_unfinished_paths,nb_in_finished_paths,nb_links,views
Cyclamen,0,0,17,13134.106796116504
Cyclone Percy,0,0,10,346.3980582524272
Cyclone Rosita,0,0,4,265.252427184466
Cyclops,15,37,18,18675.436893203885
Cymbopogon,6,6,23,32516.864077669903
Cyprus,25,74,199,271300.8155339806
Cyril Clarke,0,0,6,281.2718446601942
Cyrus K. Holliday,0,0,7,668.7864077669902
Cyrus the Great,5,15,31,96302.99029126213
Cystic fibrosis,6,30,27,131766.46601941748
Czech Republic,16,91,139,273582.00970873784
Dál Riata,2,1,32,12636.135922330097
Düsseldorf,3,10,39,48608.728155339806
DNA,95,240,151,168429.1359223301
DNA repair,9,39,20,19824.14563106796
DVD,79,119,67,66024.64077669903
Dad's Army,0,3,14,37520.59223300971
Dada,1,11,40,71995.28155339806
Dakar,8,16,34,30467.660194174758
"Dakota, Minnesota and Eastern Railroad",16,4,14,1565.4466019417475
Daley Thompson,0,0,6,11221.04854368932
"Dallas, Texas",22,43,68,15861.582524271844
Dam,19,62,222,40311.53398058253
Damascus,7,34,99,69332.74757281554
Damascus steel,4,20,22,57532.93203883495
Damon Hill,8,7,17,26946.456310679612
Dance,53,172,65,55783.16504854369
Dandelion,25,64,28,6133.291262135922
Daniel Day-Lewis,3,7,11,222492.15533980582
Daniel Ellsberg,3,3,15,38721.87378640777
Danny Deever,0,0,7,829.7961165048544
Danske Statsbaner,1,7,9,377.43689320388347
Dante Alighieri,15,27,55,86493.35922330097
Danube,22,57,80,82963.82524271845
Darfur conflict,10,25,42,2544.757281553398
Dark Ages,72,92,49,10635.019417475729
Darling River,2,11,9,4287.058252427184
Darmstadtium,6,17,18,8695.184466019418
Darth Vader,18,90,20,1216799.990291262
Dartmoor,2,6,12,13891.825242718447
Das Kapital,2,15,14,22578.233009708736
Data Encryption Standard,8,21,9,24606.29126213592
David Attenborough,2,17,39,252292.12621359224
David Beckham,32,67,27,413752.4466019418
David Blanchflower,0,0,7,1517.495145631068
David Cameron,5,9,65,157744.28155339806
David Copperfield (novel),8,12,16,2027.5922330097087
David Helvarg,0,0,16,280.3398058252427
David Heymann,0,1,5,273.36893203883494
David Hilbert,5,18,25,22142.04854368932
David Hume,4,31,68,57577.0
David III of Tao,0,0,10,619.1067961165048
David Livingstone,4,15,30,37262.970873786406
Davis Cup,13,23,68,34382.6213592233
Davy Jones' Locker,1,4,6,28265.893203883494
Day,11,59,147,25808.0
Dayuan,2,4,13,2406.757281553398
Dead Sea,18,74,84,91321.56310679612
Dead Sea scrolls,10,28,17,4397.52427184466
Death Valley National Park,11,30,56,18637.35922330097
Decade Volcanoes,5,12,31,9348.582524271844
Deconstructivism,3,2,13,13191.04854368932
Defaka,0,0,2,44.38834951456311
Defense of Sihang Warehouse,0,0,10,4837.446601941748
Definition of planet,9,20,40,6848.223300970873
Deinonychus,2,11,19,25936.660194174758
Deity,39,132,54,45470.42718446602
Delhi,12,37,119,176049.49514563108
Deluge (mythology),8,18,41,2417.660194174757
Demand Note,3,8,13,1633.8640776699028
Democracy,105,292,197,151885.8932038835
Democratic Action Party,6,17,5,7330.533980582524
Democratic Republic of the Congo,27,107,272,190712.61165048543
Demosthenes,5,9,38,16594.961165048542
Denis Law,2,15,10,23915.85436893204
Denmark,68,342,281,279406.99029126216
Dennis Ritchie,2,14,10,35535.029126213594
"Denver, Colorado",16,18,39,10500.456310679612
Derby,6,10,41,27453.165048543688
Desert,60,155,124,71189.76699029126
Desert locust,5,18,48,7074.8932038834955
Desmond Tutu,4,14,39,62957.0
Despotism,9,17,23,16523.64077669903
"Detroit, Michigan",19,57,88,12443.058252427185
Devonian,3,28,58,29214.757281553397
Dewey Square,0,0,1,474.0873786407767
Diabetes mellitus,12,29,33,94817.42718446603
Diamond,42,132,208,112281.32038834952
Diamond cut,4,12,27,18310.417475728154
Diamond simulant,2,21,41,5205.864077669903
Diane Keaton,8,10,14,176152.33009708737
Dice,9,38,40,30691.019417475727
Dido and Aeneas,2,4,17,9840.456310679612
Diego Garcia,3,16,26,53677.50485436893
Diego Maradona,5,23,24,297381.2427184466
Diego Velázquez,3,5,46,28109.436893203885
Differential equation,11,62,30,42521.34951456311
Differential geometry and topology,0,2,5,454.45631067961165
Diffuse interstellar band,0,4,8,702.3495145631068
Dik-dik,3,9,16,22936.757281553397
Dill,14,17,58,29035.398058252427
Dilophosaurus,2,15,14,28024.174757281555
Dimetrodon,5,14,17,19098.679611650485
Dingo,9,44,18,71953.4854368932
Dinosaur,129,637,188,178297.12621359224
Diplodocus,6,34,34,23630.436893203885
Directdebit,0,0,6,
Directive Principles in India,0,0,10,3148.4368932038833
Disneyland Railroad,0,0,7,5930.339805825242
Distilled beverage,8,30,25,19570.3786407767
Dixie Mission,8,18,14,1438.514563106796
Djibouti,5,20,205,89804.8640776699
Dmitri Mendeleev,8,35,31,47704.77669902913
Doctor Who,39,107,86,315534.1844660194
Dodo,21,43,38,131334.66990291263
Dog,140,300,117,340518.22330097086
Doha,4,16,25,71903.09708737864
Dolphin,61,223,88,91750.8640776699
Domesday Book,7,27,36,42634.854368932036
Domestic AC power plugs and sockets,0,0,50,1912.5825242718447
Domestic goat,13,41,67,1684.485436893204
Domesticated turkey,6,44,26,4885.281553398058
Dominica,8,27,188,82232.29126213593
Dominican Republic,25,68,95,187778.1359223301
Donald Bradman,5,10,19,7120.57281553398
Donald Duck,13,16,57,49356.70873786408
Donald Knuth,4,14,13,25651.572815533982
Donation,0,0,0,8650.864077669903
Doom,13,43,24,7211.058252427184
Dorset,3,28,99,31127.155339805824
Double-decker bus,14,32,26,17476.252427184467
Double bass,11,36,37,37836.80582524272
Douglas Adams,15,34,44,48714.28155339806
Douglas DC-4,0,0,0,13549.04854368932
Dove,51,90,105,5799.640776699029
Dover,6,18,45,15919.59223300971
Down syndrome,18,22,15,138881.28155339806
Dr. Seuss,25,62,21,158097.00970873787
Drama,79,86,51,60234.87378640777
Draughts,0,0,9,22554.349514563106
Drawing,34,57,31,55904.18446601942
Dresden,3,42,65,51561.40776699029
Drinking water,42,94,74,31342.0
Driving on the left or right,2,5,255,835.3883495145631
Drosera anglica,1,6,14,808.2233009708738
Drosophila melanogaster,8,18,23,29182.233009708736
Drought,27,55,68,44248.94174757282
Drum and bass,18,30,21,24860.233009708736
Du Fu,2,13,31,6234.533980582524
Dualism (philosophy of mind),2,4,17,12723.815533980582
Dubai,11,68,69,286279.71844660194
Dublin,25,91,111,118334.12621359223
Dubnium,2,14,26,8603.873786407767
Duchenne muscular dystrophy,0,0,1,34604.94174757282
Dundee,4,52,85,29058.825242718445
Dundee United F.C.,3,20,15,21987.873786407767
Dune,10,40,38,23739.85436893204
Dunnock,3,11,14,7029.485436893204
Dunstable Downs,0,0,5,907.0873786407767
Duran Duran,5,29,40,100220.6504854369
Durham,2,14,43,16946.81553398058
Durham Cathedral,5,10,18,11938.14563106796
Durian,4,10,34,93952.2718446602
Dutch language,68,173,155,94881.38834951456
Dwight D. Eisenhower,13,41,78,279662.07766990294
Dysprosium,2,25,33,9870.04854368932
E.T. the Extra-Terrestrial (Atari 2600),0,0,7,232.60194174757282
E. E. Cummings,5,12,28,22592.95145631068
E. P. Wigner,0,0,9,48.320388349514566
ECHELON,4,14,56,22844.747572815533
EMD BL2,1,2,5,1087.495145631068
EMD F7,6,14,7,4583.660194174758
EMD GP30,0,2,8,1996.6407766990292
Eagle,30,138,196,73096.44660194175
Eagle Scout (Boy Scouts of America),2,8,17,15717.349514563106
Earl of Shaftesbury,1,10,7,3395.9320388349515
Earless seal,2,10,4,9987.067961165048
Earth,925,3123,810,739096.281553398
Earth's atmosphere,108,325,143,10321.42718446602
Earthquake,86,244,107,172891.5922330097
Earwax,0,1,16,26119.02912621359
East-West Schism,5,22,33,3864.5922330097087
EastEnders,9,25,34,87220.31067961165
East Africa,43,125,94,37215.21359223301
East Flemish,1,19,18,1274.7378640776699
East Timor,3,19,86,97577.6504854369
Easter Island,11,22,31,111231.82524271845
Eastern Orthodox Church,21,66,91,119768.14563106796
Eastern Roman Empire,0,0,5,12230.825242718447
Ebony,9,33,27,28608.864077669903
Ecology,55,157,102,55475.71844660194
Economic inequality,4,6,26,26697.747572815533
Economics,121,271,144,116716.39805825242
Economy of Africa,6,16,104,13619.621359223302
Economy of India,6,9,49,217207.98058252427
Economy of Pakistan,7,13,48,56547.41747572816
Economy of Scotland,0,0,49,9994.504854368932
Economy of the Iroquois,0,6,9,1819.1553398058252
Economy of the Republic of Ireland,5,7,62,19309.514563106797
Ecuador,19,101,117,135692.70873786407
Edema,3,16,14,80471.14563106796
Edgar Allan Poe,20,54,69,232315.9223300971
Edible salt,16,62,32,1281.5728155339805
Edinburgh,20,69,153,119736.45631067961
Edmond Halley,4,13,30,12259.271844660194
Edmonton,0,0,20,68566.36893203884
Edmund Burke,3,17,57,42711.47572815534
Edmund Hillary,3,13,18,63949.31067961165
Education,76,235,212,319315.63106796116
Education in the United States,54,126,83,109850.36893203884
Educational psychology,9,36,18,25821.04854368932
Edward Gibbon,5,12,27,14415.980582524271
Edward III of England,15,62,68,80277.28155339806
Edward II of England,4,53,25,83971.44660194175
Edward IV of England,9,56,33,107669.91262135922
Edward I of England,10,57,53,114055.6504854369
Edward Jenner,10,15,9,34167.844660194176
Edward Teller,1,16,40,45161.73786407767
Edward VIII of the United Kingdom,10,36,55,9257.31067961165
Edward VII of the United Kingdom,13,47,79,14575.291262135923
Edward VI of England,8,28,55,96037.28155339806
Edward V of England,2,44,19,43674.05825242718
Edward the Confessor,13,25,43,66350.61165048544
Edwin of Northumbria,2,6,21,4323.611650485437
Effect of Hurricane Katrina on New Orleans,9,29,22,623.7961165048544
Effects of global warming,5,19,48,41268.28155339806
Effects of nuclear explosions,12,19,17,33162.11650485437
Egg (food),16,39,42,17828.135922330097
Egypt,216,646,653,287734.36893203884
Egyptian pyramids,38,113,11,83589.23300970874
Eifel Aqueduct,0,0,16,939.6504854368932
Eilmer of Malmesbury,0,3,6,1648.5825242718447
Einsteinium,6,29,30,14973.679611650485
El Aaiún,2,2,8,1381.0485436893205
"El Hatillo Municipality, Miranda",0,0,32,113.4368932038835
El Lissitzky,5,3,40,6927.135922330097
El Niño-Southern Oscillation,4,19,53,2901.4660194174758
El Salvador,9,35,77,127700.20388349515
Elagabalus,2,15,12,44307.0
Eldfell,2,23,19,3155.4563106796118
Election,15,57,67,33238.35922330097
Electric charge,36,121,67,49015.31067961165
Electric field,29,65,43,40355.58252427184
Electrical engineering,31,76,59,66798.07766990291
Electrical resistance,11,52,34,8678.873786407767
Electricity,145,505,147,98141.76699029126
Electromagnetic radiation,54,139,72,83656.76699029126
Electron,63,228,277,67361.1359223301
Electron beam welding,3,29,7,1793.7475728155339
Electronic amplifier,2,3,5,3534.5825242718447
Electronics,142,618,62,63667.19417475728
Elementary algebra,8,53,7,9014.194174757282
Elementary arithmetic,7,36,7,3714.4660194174758
Elementary group theory,1,3,4,147.96116504854368
Eleocharis dulcis,4,5,10,19394.31067961165
Elephant,95,190,105,147504.03883495147
Elephant bird,9,23,11,26510.31067961165
Elephant shrew,25,21,10,11385.902912621359
Elfin-woods Warbler,0,0,23,79.70873786407768
Elias Ashmole,3,6,17,4043.126213592233
Eliminative materialism,3,0,13,5344.747572815534
Elizabeth Fry,3,4,14,7308.805825242718
Elizabeth II of the United Kingdom,89,231,231,12963.864077669903
Elizabeth I of England,23,89,117,284611.23300970875
Elizabethan Poor Law (1601),0,0,5,266.50485436893206
Elvis Presley,42,94,78,731712.7572815533
Emacs,3,18,23,19499.90291262136
Emanuel Swedenborg,5,10,33,17945.174757281555
Emirate,9,29,93,14262.59223300971
Emma Roberts,0,0,1,312967.9417475728
Emotion,71,113,30,70400.95145631068
Emperor Penguin,11,52,14,4544.174757281553
Empires  Dawn of the Modern World,0,0,22,
Empiricism,10,13,43,42781.728155339806
Employment,36,62,79,34846.53398058253
Emu,12,41,23,70365.59223300971
Enceladus (moon),8,4,28,4098.660194174758
Encyclopædia Britannica,8,15,46,43998.41747572816
Endoscopic foreign body retrieval,0,1,3,565.4854368932039
Energy,109,383,146,87261.77669902913
Engineering,136,284,92,85496.11650485436
England,1070,3112,2813,399939.42718446604
England expects that every man will do his duty,6,3,16,5727.601941747573
English Channel,51,167,93,47741.45631067961
English Reformation,13,24,36,30474.339805825242
English language,544,1350,778,426772.8058252427
English monarchs family tree,0,0,3,5053.728155339806
English peasants' revolt of 1381,7,4,16,481.09708737864077
English poetry,11,8,54,8277.378640776698
Enigma machine,9,25,22,78915.1359223301
Entropy,6,38,39,112659.38834951456
Environmental science,17,22,26,27601.456310679612
Enzyme kinetics,6,19,13,13222.330097087379
Eocene,6,25,54,18751.40776699029
Epaminondas,1,3,10,5372.281553398058
Epazote,5,11,56,2085.2038834951454
Epic of Gilgamesh,14,18,19,82489.87378640777
Episcopal polity,6,8,34,12673.339805825242
Equal Protection Clause,9,22,24,23748.66990291262
Equatorial Guinea,6,23,87,83526.66019417475
Erbium,3,15,33,8334.116504854368
Eric Clapton,10,39,42,239870.5436893204
Erie Canal,6,40,26,40922.611650485436
Eris (dwarf planet),4,9,29,43869.99029126213
Eritrea,8,18,147,169168.1941747573
Ernest Hemingway,25,55,64,289353.9126213592
Ernest Rutherford,2,28,34,48958.16504854369
Eruption column,4,12,15,2319.223300970874
Erwin Rommel,4,25,44,112303.29126213593
Eskimo,8,14,15,44017.1359223301
Esox,0,0,19,6860.349514563107
Esperanto,9,27,69,97757.49514563107
Essential oil,8,46,43,38599.53398058253
Estonia,12,43,114,185407.8058252427
Ethanol,51,152,94,137728.58252427186
Ethics,44,110,76,91828.786407767
Ethiopia,68,153,273,227741.23300970873
Ethiopian Wolf,6,16,10,543.0582524271845
Ethnic group,45,84,59,90681.0
Euclid,15,69,61,58119.83495145631
Euclidean geometry,9,53,21,29863.679611650485
Eukaryote,48,83,35,79148.56310679612
Euphrates,11,24,50,40794.8640776699
Eurasian Bullfinch,0,0,9,362.88349514563106
Eurasian Collared Dove,3,11,18,545.6893203883495
Eurasian Eagle Owl,3,19,16,528.495145631068
Eurasian Jay,7,7,16,706.4271844660194
Eurasian Oystercatcher,0,0,19,330.7281553398058
Euro,45,134,2093,151273.5922330097
Europe,1124,4194,1863,345741.92233009706
European Goldfinch,5,8,15,816.5339805825242
European Greenfinch,0,0,12,373.94174757281553
European Kingfisher,0,0,11,34.55339805825243
European Parliament,14,47,77,56941.087378640776
European Space Agency,23,96,67,29063.485436893203
European Union,235,835,527,423645.4466019418
Europium,6,24,31,11106.223300970874
Eurovision Song Contest,4,9,52,99860.00970873787
Euston Manifesto,0,0,16,1150.4174757281553
Eustreptospondylus,0,0,13,1753.7475728155339
Eva Perón,5,7,41,98913.41747572816
Evan Rachel Wood,0,0,7,218684.44660194175
Evanton,0,0,10,640.495145631068
Evolution,133,464,194,90156.8640776699
Evolutionarily stable strategy,4,14,7,4463.563106796117
Existentialism,34,41,39,124097.52427184465
Exploration of Mars,4,17,21,19543.349514563106
Explorer I,6,15,13,242.28155339805826
Expressionism,12,32,26,39191.94174757282
Extinct birds,4,25,40,216.51456310679612
Extinction,49,178,94,61054.436893203885
Extrasolar planet,22,114,61,4600.145631067961
Extraterrestrial life,14,44,66,65819.786407767
Eye,138,283,134,44594.77669902913
Eye (cyclone),6,5,16,16259.291262135923
Eyelid,16,40,5,11512.844660194174
Ezra Pound,3,13,55,45181.69902912621
F-35 Lightning II,4,10,25,17417.33009708738
F-4 Phantom II,6,5,23,14965.902912621359
FIFA,30,104,114,138989.4077669903
FIFA World Cup,39,64,65,545202.3106796116
FM Consolidated line,0,0,4,894.0194174757281
FairTax,1,1,8,7560.902912621359
Fair Isle,9,15,11,10688.728155339806
Falcon,11,51,61,38307.038834951454
Falkirk Wheel,0,0,7,16428.776699029127
Falkland Islands,7,23,89,109518.01941747573
Family,45,40,37,71608.14563106796
Famine,29,95,105,29531.155339805824
Fanny Blankers-Koen,0,0,21,7793.9708737864075
Faroe Islands,13,27,70,146932.572815534
Fascism,10,59,95,325376.9126213592
Fashion,27,62,44,77998.33980582525
Fatty acid,24,79,56,43339.50485436893
Fauna of Australia,1,11,74,12163.0
Feather,45,77,52,15771.40776699029
Fed Cup,4,11,42,6674.330097087379
Federal Bureau of Investigation,30,57,70,122897.59223300971
Federated States of Micronesia,4,11,39,48513.22330097087
Fedora Core,3,16,13,128.85436893203882
Feldspar,2,16,30,28152.504854368934
Felice Beato,4,8,28,3118.106796116505
Felix Mendelssohn,3,11,41,36007.69902912621
Felix the Cat,7,22,24,24954.97087378641
Fencing,8,15,24,43867.330097087375
Fennel,8,15,80,61346.45631067961
Ferdinand Magellan,9,25,50,88137.67961165048
Ferdinandea,1,7,7,773.4660194174758
Fermi paradox,6,10,35,101816.54368932039
Fermium,3,12,26,7388.47572815534
Fern,15,42,41,41320.40776699029
Fertile Crescent,9,21,40,34860.49514563107
Fertilizer,48,116,66,45813.19417475728
Fetal alcohol spectrum disorder,0,0,10,47784.320388349515
Ffestiniog Railway,3,1,12,4072.78640776699
Fiberglass,8,16,14,36313.06796116505
Fiction,82,100,47,35086.970873786406
Fidel Castro,11,54,69,244751.99029126213
Fieldfare,6,10,17,5542.640776699029
Fiji,11,19,75,165275.1941747573
Film,380,521,159,129425.33009708738
Final Fantasy (video game),1,10,10,28405.0
Final Fantasy Adventure,0,0,5,7540.407766990291
Finance,38,123,54,69015.36893203884
Financial statements,0,0,7,2512.4077669902913
Fine art,46,106,22,30229.6213592233
Finland,47,146,228,263824.2718446602
Fire,15,109,185,64358.45631067961
Firearm,10,71,29,35869.74757281553
Firecrest,0,0,10,175.98058252427185
Firefly (TV series),5,8,22,88347.76699029126
First Council of Nicaea,5,6,28,60149.23300970874
First Crusade,10,34,47,55153.81553398058
First Macedonian War,17,35,11,3387.4271844660193
First Transcontinental Railroad,27,32,38,33579.81553398058
Fish,236,706,304,113958.31067961165
Fishing,76,233,131,31596.417475728154
Flag of Australia,9,38,16,65153.796116504855
Flag of Belarus,3,21,12,11572.83495145631
Flag of Hong Kong,5,23,14,12130.864077669903
Flag of India,5,23,24,164712.73786407767
Flag of Mexico,7,38,15,49634.12621359223
Flag of South Africa,4,40,16,28463.68932038835
Flag of the Republic of China,2,25,20,14502.970873786408
Flamingo,11,39,21,54619.203883495145
Flanders,15,34,83,41313.77669902913
Flat Earth,6,18,35,109921.10679611651
Flemish (linguistics),3,16,13,46.627450980392155
Flemish dialects,6,30,12,773.1747572815534
Flemish people,10,21,29,16910.90291262136
Flood,14,98,93,75342.49514563107
Floppy disk,17,62,29,60559.53398058253
Florence Nightingale,6,17,33,111958.0
Florida,213,376,379,221910.47572815535
Florida East Coast Railway,11,14,21,7556.21359223301
Floris and Blancheflour,0,0,5,742.9417475728155
Flower,114,281,114,101251.91262135922
Floyd Mayweather Jr.,0,0,11,337294.33980582526
Fluorine,4,39,63,47687.63106796116
Flute,12,80,60,38383.0
Foie gras,2,3,38,95743.60194174758
Folic acid,13,29,36,28294.0
Folk music,64,137,87,56152.320388349515
Folklore,42,69,65,42009.19417475728
Food,227,389,104,117169.06796116506
Football,86,148,335,173046.82524271845
Football (soccer),130,227,241,7367.52427184466
Force,38,121,119,61699.58252427184
Forensic facial reconstruction,0,0,6,5031.330097087379
Forest,63,157,142,56076.70873786408
Formic acid,8,21,29,30791.02912621359
Formula One,18,60,108,186642.74757281554
Forrest Gump,30,42,20,217622.2427184466
Fort de Chartres,0,0,5,1665.3592233009708
Forth,5,11,33,944.4854368932039
Forth Bridge (railway),6,3,16,137.9902912621359
Forth Road Bridge,1,1,12,7552.446601941748
Fossil,66,212,240,45748.71844660194
Fossil fuel,43,206,43,56635.844660194176
Fossil record,16,55,48,1720.1553398058252
Fourteenth Amendment to the United States Constitution,18,64,30,123150.28155339806
Fox,7,37,106,93402.91262135922
Frédéric Chopin,4,13,45,96816.31067961165
Fractal,7,28,21,54050.45631067961
France,568,1505,1510,496126.6504854369
France in the American Revolutionary War,4,30,27,15708.582524271844
Frances Oldham Kelsey,0,2,5,10070.902912621359
Francis Bacon,9,38,37,85964.80582524271
Francis Crick,14,24,42,25573.766990291264
Francis Drake,8,22,30,71521.95145631068
Francis Petre,0,0,22,411.9514563106796
Francis of Assisi,9,15,26,85151.22330097087
Francisco Goya,3,4,19,48043.087378640776
Francium,3,18,44,22160.631067961163
Frank Lloyd Wright,7,17,22,95362.99029126213
Frankenstein,19,33,41,123298.70873786407
Frankfurt,7,42,86,85981.35922330097
Franklin B. Gowen,0,0,6,502.19417475728153
Franklin D. Roosevelt,21,82,132,450699.33980582526
Franklin Pierce,4,15,29,65867.83495145632
Franks,26,33,74,45021.01941747573
Franz Kafka,10,16,41,128449.68932038835
Franz Schubert,2,30,25,48142.45631067961
Frederick Douglass,12,20,33,146556.26213592233
"Frederick Hamilton-Temple-Blackwood, 1st Marquess of Dufferin and Ava",0,4,31,2954.6990291262136
"Frederick II, Holy Roman Emperor",4,9,33,24643.11650485437
Frederick II of Prussia,4,21,43,6083.417475728155
Freetown,3,14,24,17146.68932038835
French Guiana,5,30,48,86938.98058252427
French Open (tennis),1,11,29,1418.368932038835
French Polynesia,7,13,26,68550.69902912622
French Revolution,61,146,118,245839.66990291263
French Southern and Antarctic Lands,0,7,31,19955.78640776699
French language,129,317,399,154783.572815534
Fresh water,43,163,42,24001.252427184467
Friedrich Nietzsche,12,51,76,194167.3786407767
Friend Directdebit,0,0,2,
Frog,10,96,114,74216.81553398058
Fruit,120,729,150,89570.1359223301
Fugu,5,3,23,28963.06796116505
Full moon,13,49,22,32669.52427184466
Funchal,2,12,12,19470.922330097088
Functional programming,16,46,9,52793.45631067961
Fundamental Rights in India,0,0,20,2483.339805825243
Fundamental theorem of arithmetic,4,36,7,12785.47572815534
Fungus,25,71,58,94702.36893203884
Fur language,0,0,4,1343.6504854368932
Fusarium,8,5,3,7901.9320388349515
Fyodor Dostoevsky,5,27,44,78240.31067961165
GDRT,2,2,7,512.6893203883495
GNOME,11,29,22,25262.038834951458
GNU,10,52,40,28465.33009708738
GNU Linux naming controversy,0,0,8,13.911764705882353
GNU Project,8,28,8,13362.611650485436
Gabon,6,39,78,77159.4854368932
Gaborone,2,6,7,15767.300970873786
Gadolinium,4,17,33,17111.912621359224
Galápagos Islands,10,38,52,78422.71844660194
Galah,7,9,11,10572.533980582524
Galaxy,42,192,114,90217.96116504855
Galeras,4,7,7,2445.8252427184466
Galerina,0,0,2,2608.339805825243
Galileo Galilei,33,150,93,177997.63106796116
Gallery of the Kings and Queens of England,0,0,34,
Gallimimus,0,0,14,6947.436893203883
Gallium,3,23,46,44833.57281553398
Galveston Hurricane of 1900,8,13,30,1385.3106796116506
Game,24,74,436,80532.2718446602
Game theory,36,75,41,99971.82524271845
Ganesha,0,39,24,117379.87378640777
Ganges River,10,31,40,2999.126213592233
Ganges shark,0,2,9,5050.650485436893
Gangtok,2,13,36,24950.223300970873
Garage (dance music),3,7,9,19.07843137254902
Garden,40,83,77,21367.533980582524
Garden Gnome Liberation Front,0,0,2,122.9126213592233
Gardening,38,103,27,19255.11650485437
Gas,40,111,232,36128.398058252424
Gas giant,17,64,51,19071.504854368934
Gas metal arc welding,7,22,31,19609.611650485436
Gas tungsten arc welding,3,17,35,23479.038834951458
Gas turbine-electric locomotive,6,15,8,1228.5728155339805
Gaur,3,9,24,31073.776699029127
Gauss's law,6,12,23,25563.563106796115
Gautama Buddha,10,51,41,224076.50485436892
Gaza Strip,20,53,41,193097.3009708738
Gazelle,16,28,20,20692.26213592233
Gender,17,28,48,91290.94174757281
Genealogy,15,29,31,19798.543689320388
General Pershing Zephyr,1,2,6,501.0485436893204
Genetic code,42,67,28,29973.805825242718
Genetics,77,181,95,59817.49514563107
Geneva,15,38,70,81383.46601941748
Genghis Khan,9,66,83,311861.1844660194
Genoa,16,26,90,55793.80582524272
Gentoo penguin,0,2,13,9854.47572815534
Geography,64,190,260,67182.60194174758
Geography of Africa,0,0,41,8609.922330097088
Geography of India,5,17,62,55364.6213592233
Geography of Ireland,7,27,34,7099.42718446602
Geography of Texas,0,0,23,7866.553398058252
Geology,90,267,189,45549.41747572816
Geology of Dorset,0,0,24,937.8640776699029
Geology of the Grand Canyon area,0,9,54,4065.5436893203882
Geometry,39,133,61,50106.17475728155
Georg Cantor,6,16,34,20128.631067961163
Georg Forster,0,0,42,2275.26213592233
Georg von Boeselager,0,0,15,849.5825242718447
"George Byron, 6th Baron Byron",3,4,50,678.5533980582525
George Eliot,6,11,24,47677.94174757282
George Fox,2,9,30,8639.281553398057
George H. W. Bush,20,81,78,444526.0970873786
George Herbert,2,3,16,9143.485436893205
George III of the United Kingdom,17,65,92,144287.5922330097
George II of Great Britain,8,34,37,128952.26213592233
George IV of the United Kingdom,8,30,60,70335.73786407767
George I of Great Britain,12,36,47,133470.7281553398
George Thomas Coker,0,0,9,1453.0582524271845
George VI of the United Kingdom,11,36,62,7073.42718446602
George V of the United Kingdom,13,30,76,9531.0
George W. Bush,126,362,198,467564.17475728155
George Washington,28,154,75,489015.58252427186
"Georgetown, Guyana",3,5,17,22282.09708737864
Georgia (country),15,34,264,281701.57281553396
Gerald Durrell,4,16,51,37703.35922330097
Gerald Ford,12,28,68,245056.01941747573
"German Crusade, 1096",8,6,19,211.27184466019418
German language,122,372,302,137805.76699029127
German reunification,11,31,35,39472.52427184466
Germanium,7,33,51,28788.14563106796
Germany,406,1682,1099,553468.6601941747
Gettysburg Address,12,31,28,86051.25242718446
Ghana,14,55,109,184771.18446601942
Ghost Dance,4,4,11,22658.747572815533
Giant's Causeway,7,6,15,51381.77669902913
Giant Eland,1,8,12,352.3495145631068
Giant Hogweed,1,2,7,846.5825242718447
Giant Panda,10,27,48,2892.776699029126
Gibraltar,13,63,104,156674.5922330097
Giganotosaurus,7,25,19,34906.83495145631
Gilles Villeneuve,0,9,6,24268.077669902912
Giraffe,55,133,48,105039.4854368932
Giuseppe Verdi,7,14,35,34098.42718446602
Giza pyramid complex,16,45,9,35541.78640776699
Glacier,36,169,149,37761.57281553398
Glacier National Park (US),5,4,36,172.62135922330097
Glaciology,4,21,14,3185.4368932038833
Glasgow,19,64,116,101206.25242718446
Glass,58,115,167,61744.145631067964
Glasses,9,21,28,32291.44660194175
Glastonbury Festival,10,20,17,51326.16504854369
GlaxoSmithKline,1,10,19,42910.64077669903
Gliding,6,9,24,6463.223300970873
Gliese 876,9,20,83,1638.0873786407767
Gliese 876 b,2,13,20,597.6504854368932
Gliese 876 c,2,17,20,408.8543689320388
Gliese 876 d,2,25,19,1044.0776699029127
Global,6,5,435,4159.873786407767
Global city,33,67,168,74898.56310679612
Global spread of H5N1,3,8,90,3063.8349514563106
Global warming,99,382,103,1020331.4174757282
Globalization,23,51,67,132670.38834951457
Globe Theatre,10,37,15,33469.05825242718
Globular cluster,8,14,24,11772.514563106795
Glorious Revolution,17,35,64,64564.57281553398
Glynn Lunney,1,16,13,2937.378640776699
Gmail,19,95,23,587144.3009708738
Go (board game),8,24,24,6499.0679611650485
Goa,7,31,70,134221.73786407767
God,134,437,211,131986.20388349515
Gold,60,319,479,148122.1359223301
Gold(III) chloride,3,8,11,3705.0873786407765
Gold standard,7,53,74,45729.63106796116
Goldcrest,0,0,14,8382.26213592233
Golden Eagle,6,33,37,3664.631067961165
Golden Gate Highlands National Park,3,9,10,1997.6407766990292
Goldfish,12,33,30,42974.029126213594
"Goleta, California",0,0,5,5994.388349514563
Gone with the Wind (film),14,20,37,148239.87378640776
Google,45,236,45,1247212.1941747572
Goose,24,72,84,35472.78640776699
Gordon Brown,5,21,31,82204.7281553398
Gordon Griffith,0,0,5,702.5631067961165
Gorilla,29,82,46,106785.60194174758
Gossypium,3,18,13,7196.660194174758
